title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà mặt phố tại đường Tân Ấp	pr42573695	42.0	11.9	4	2	2	21.0462546960962	105.847032114014	Ba Đình	Hà Nội
Nhà riêng tại đường Trần Duy Hưng	pr42638339	60.0	19.9	4	4	2	21.0107487020202	105.799606599239	Cầu Giấy	Hà Nội
Nhà riêng tại phường Quang Trung	pr42634638	35.0	7.9	4	3	2	20.9701995521433	105.77129368415	Hà Đông	Hà Nội
Căn hộ chung cư tại Imperia Garden	pr42597930	111.0	10.5	3	2	2	20.996734768545934	105.80305442615138	Thanh Xuân	Hà Nội
Nhà riêng tại đường Đặng Tiến Đông	pr42581002	66.0	11.5	5	4	2	21.0139483708255	105.821569976519	Đống Đa	Hà Nội
Nhà riêng tại đường Hàm Nghi	pr42615159	50.0	12.0	6	6	-1	21.0349068577528	105.764586554282	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Thái Hà	pr42635408	32.0	9.1	4	3	2	21.0121721838697	105.820181584058	Đống Đa	Hà Nội
Nhà riêng tại phố Cự Lộc	pr42622761	35.0	8.5	4	5	2	21.002649983605	105.812152299214	Thanh Xuân	Hà Nội
Căn hộ chung cư tại PentStudio	pr42359320	93.0	7.8	1	2	2	21.063945678903	105.81015843308	Tây Hồ	Hà Nội
Nhà riêng tại đường Xuân Đỉnh	pr42516398	40.0	10.0	3	4	2	21.0713136881638	105.794233056927	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Diamond Goldmark City	pr41446129	129.0	8.2	3	3	2	21.044193933629582	105.76695511933968	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại N01-T1 Ngoại Giao Đoàn	pr42529103	133.0	11.97	4	3	2	21.0657608930397	105.797373191369	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Đoàn Thị Điểm	pr42368752	26.0	7.5	2	3	2	21.0262911660863	105.832222548669	Đống Đa	Hà Nội
Nhà riêng tại phường Thụy Khuê	pr42072017	79.0	17.1	5	6	2	21.0426414193858	105.824782664852	Tây Hồ	Hà Nội
Căn hộ chung cư tại Mipec Rubik 360	pr35095974	83.0	8.3	2	2	-1	21.03767415632049	105.78607427834284	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Times City	pr30431860	160.0	10.5	4	3	2	20.9947910308838	105.86784362793	Hai Bà Trưng	Hà Nội
Chung cư mini, căn hộ dịch vụ tại phường Xuân Tảo	pr42640474	104.0	8.4	3	2	-1	21.0638227162364	105.796296063493	Bắc Từ Liêm	Hà Nội
Shophouse, nhà phố thương mại tại Vinhomes Cổ Loa	pr42026117	75.0	19.0	5	4	1	21.11568537570357	105.87012963623052	Đông Anh	Hà Nội
