title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42614924	96.0	16.8	5	3	1	21.096562274466994	105.71204689509746	Đan Phượng	Hà Nội
Nhà riêng tại đường Bồ Đề	pr41789075	80.0	13.2	3	3	2	21.0379724924051	105.871921608991	Long Biên	Hà Nội
Nhà riêng tại đường Yên Hòa	pr42566899	35.0	8.0	5	4	2	21.0232502264143	105.794804060888	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Chí Thanh	pr42522665	65.0	16.5	4	4	2	21.0210685056711	105.808493223334	Đống Đa	Hà Nội
Nhà biệt thự, liền kề tại Him Lam Thường Tín	pr42177890	80.0	11.0	6	6	2	20.8710734809205	105.862896065556	Thường Tín	Hà Nội
Shophouse, nhà phố thương mại tại Him Lam Thường Tín	pr41455530	81.0	15.0	5	6	2	20.8715607362953	105.862752231038	Thường Tín	Hà Nội
Nhà riêng tại đường Hồ Đắc Di	pr42657542	80.0	12.8	3	3	2	21.0120317980487	105.829219203335	Đống Đa	Hà Nội
Căn hộ chung cư tại Mulberry Lane	pr42620937	146.0	7.5	4	2	2	20.986585794806963	105.7856640972146	Hà Đông	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	pr42654634	46.0	17.0	5	5	2	21.046267314581	105.799749577815	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Viha Complex	pr41825566	97.0	9.2	3	3	1	20.9975177172086	105.804383780412	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42648565	35.0	12.5	3	4	2	21.0466207052601	105.877737462159	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại The Eden Rose	pr42487238	82.5	21.5	4	5	2	20.96695746342724	105.81392058429589	Thanh Trì	Hà Nội
Nhà riêng tại đường Định Công Thượng	pr42122413	41.0	9.35	4	5	2	20.9828556907307	105.821261091206	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại phố Nguyễn Khiêm Ích	pr42620688	90.0	18.2	5	5	2	21.0136238623344	105.939517187216	Gia Lâm	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	pr42491247	35.0	7.5	4	5	2	21.0420966892547	105.817917979681	Ba Đình	Hà Nội
Nhà riêng tại đường Đức Giang	pr42636367	35.0	8.5	3	5	2	21.0667741109018	105.891593915149	Long Biên	Hà Nội
Căn hộ chung cư tại Chung cư Đông Đô	pr42601783	94.7	7.25	2	2	2	21.0499501418457	105.794929428449	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Iris Garden	pr41602447	135.0	7.6	3	2	2	21.0311622619629	105.760414123535	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Thụy Khuê	pr42608715	48.0	10.6	6	4	2	21.0426210118859	105.823921119266	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Trần Đăng Ninh	pr34124071	42.0	14.0	8	5	2	21.0387557	105.7922448	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Lumi Hanoi	pr41905789	136.0	10.55	4	3	1	21.0117948134741	105.735632766765	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Ô Cách	pr42612298	65.0	12.0	3	4	2	21.0600959191157	105.895881457151	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Trãi	pr42575365	58.0	12.0	6	6	2	20.9728686916288	105.779048277027	Hà Đông	Hà Nội
Nhà riêng tại đường Khuất Duy Tiến	pr42584204	40.0	15.5	4	4	2	20.9952079683355	105.800250660682	Thanh Xuân	Hà Nội
Nhà riêng tại phố Hào Nam	pr42587804	50.0	8.0	3	4	2	21.027314179655	105.827778334746	Đống Đa	Hà Nội
Căn hộ chung cư tại Khu đô thị Mỹ Đình II	pr41684244	142.0	8.2	3	2	-1	21.0315856933594	105.768203735352	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr39959331	169.0	13.5	3	4	1	21.0407333374023	105.896560668945	Long Biên	Hà Nội
Nhà riêng tại đường Triều Khúc	pr42496920	50.0	14.0	5	6	2	20.9799524733521	105.80249454218	Thanh Trì	Hà Nội
Nhà riêng tại đường Hoàng Như Tiếp	pr42405284	50.0	9.1	4	4	2	21.0408433436199	105.877769329987	Long Biên	Hà Nội
Nhà riêng tại đường Phúc Lợi	pr41789866	117.0	19.0	6	5	-1	21.0388072186291	105.934620217152	Long Biên	Hà Nội
Nhà riêng tại phường Thịnh Liệt	pr42638174	70.0	17.8	6	6	2	20.9768093071434	105.847407838191	Hoàng Mai	Hà Nội
Căn hộ chung cư tại A10-A14 Nam Trung Yên	pr42316753	95.0	7.5	3	2	2	21.019292138136525	105.78781898027977	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	pr42303671	68.0	20.5	5	5	2	20.9725133882724	105.819882478659	Hoàng Mai	Hà Nội
Nhà riêng tại phố Trần Cung	pr42593970	85.0	17.0	6	5	2	21.0521132948133	105.788977399241	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại N04B Ngoại Giao Đoàn	pr42575367	99.6	9.0	2	2	2	21.065461927910057	105.80150240096393	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Iris Garden	pr42475486	135.0	7.5	3	2	-1	21.0317805512488	105.760874220403	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Đình Hoàn	pr42503050	40.0	15.8	3	4	2	21.0429488435816	105.805067966484	Cầu Giấy	Hà Nội
Nhà riêng tại đường Đền Lừ	pr42376850	37.4	19.0	5	5	2	20.9849323099361	105.857868259932	Hoàng Mai	Hà Nội
Nhà riêng tại phố Nghĩa Dũng	pr42631781	43.0	8.8	4	4	2	21.0476583800261	105.847563497844	Ba Đình	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr42602330	156.0	12.99	3	3	1	21.040780234182	105.895642894351	Long Biên	Hà Nội
Nhà riêng tại đường Ngọc Hà	pr42641757	58.0	15.49	5	5	2	21.0361022698592	105.831268885565	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại phường Thịnh Liệt	pr42624069	65.0	15.0	6	4	2	20.9770480046058	105.847117234431	Hoàng Mai	Hà Nội
Nhà riêng tại đường Nguyễn Văn Linh	pr42572171	50.0	11.6	4	4	2	21.0303577274462	105.914316912438	Long Biên	Hà Nội
Nhà riêng tại đường Tư Đình	pr42412337	86.0	14.5	1	1	2	21.0286785839772	105.883818452958	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Tân Tây Đô	pr42617816	91.5	15.0	4	4	2	21.07437555021234	105.7004879836154	Đan Phượng	Hà Nội
Nhà riêng tại đường Nguyễn Khang	pr42645121	65.0	17.0	4	3	2	21.0273982212955	105.798263817835	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyên Hồng	pr42642113	35.0	16.2	3	3	2	21.0159661528127	105.80962554928	Đống Đa	Hà Nội
Căn hộ chung cư tại Stellar Garden	pr38682281	100.0	7.0	3	2	1	20.9989471435547	105.804176330566	Thanh Xuân	Hà Nội
Nhà riêng tại đường Tô Hiệu	pr42363350	53.0	8.0	1	1	2	20.9665098182716	105.776573497107	Hà Đông	Hà Nội
Căn hộ chung cư tại N03-T1 Ngoại Giao Đoàn	pr40262777	96.6	8.3	3	2	2	21.0657653808594	105.798080444336	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42373973	80.0	10.7	4	3	2	21.0438651326572	105.872356856801	Long Biên	Hà Nội
Nhà riêng tại đường Tô Vĩnh Diện	pr42541781	60.0	12.8	6	4	2	20.9996834868449	105.820895864678	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Golden Park Tower	pr40942577	95.0	8.8	3	2	2	21.0268173217773	105.787666320801	Cầu Giấy	Hà Nội
Nhà riêng tại phố Thái Thịnh	pr42582415	51.0	11.9	4	3	2	21.010438679133	105.818860209413	Đống Đa	Hà Nội
Nhà riêng tại đường Dương Quảng Hàm	pr41311958	161.0	20.0	2	1	2	21.0350272181189	105.799759879248	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Park Kiara	pr41141828	91.0	8.55	3	2	2	20.9673748016357	105.754013061523	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Kiến Hưng Luxury	pr42616338	68.0	19.8	4	5	2	20.95238336041869	105.7856266533434	Hà Đông	Hà Nội
Nhà mặt phố tại đường Giang Văn Minh	pr42593504	24.0	17.5	4	4	2	21.0320132252062	105.826967238681	Ba Đình	Hà Nội
Nhà riêng tại đường Trường Chinh	pr41827127	69.0	13.8	4	4	2	20.9986509871809	105.837977710587	Đống Đa	Hà Nội
Nhà riêng tại phố Kim Mã	pr42359924	43.0	8.8	5	4	2	21.0317829429711	105.825408673663	Ba Đình	Hà Nội
Nhà riêng tại đường Hoàng Mai	pr42524634	32.0	8.2	5	5	2	20.9848644696041	105.843536117657	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Việt Đức Complex	pr42625014	136.6	7.65	3	2	1	20.999669389354345	105.79956585165388	Thanh Xuân	Hà Nội
Nhà riêng tại đường Lê Quang Đạo	pr42524831	48.6	8.2	4	3	2	21.0122250493206	105.771034763789	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	pr40876825	82.0	20.2	5	5	2	20.95768256157765	105.76716471809476	Hà Đông	Hà Nội
Nhà mặt phố tại phường Đội Cấn	pr42589119	44.0	16.2	1	1	2	21.0347849076387	105.826217100137	Ba Đình	Hà Nội
Nhà mặt phố tại đường Minh Khai	pr42560263	65.0	14.0	3	3	2	20.9976111874569	105.866807523062	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Hào Nam	pr42576484	38.0	8.25	5	5	2	21.0273479500894	105.827779829454	Đống Đa	Hà Nội
Căn hộ chung cư tại Bamboo Airways Tower	pr42639616	96.0	7.1	2	2	2	21.03459304989164	105.79519302329555	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Sunshine City	pr40151117	99.0	7.0	3	2	-1	21.08497391533869	105.79145086787376	Bắc Từ Liêm	Hà Nội
Nhà mặt phố tại phố Trần Quốc Hoàn	pr42657819	30.0	12.0	3	4	2	21.0412926217836	105.786601033847	Cầu Giấy	Hà Nội
Nhà riêng tại đường Lạc Long Quân	pr42621227	41.0	11.3	4	4	2	21.0769361118275	105.81433915724	Tây Hồ	Hà Nội
Nhà riêng tại phường Văn Quán	pr42022953	35.0	7.0	3	4	2	20.9761396701502	105.791358347675	Hà Đông	Hà Nội
Nhà riêng tại phường Phúc Xá	pr42655273	51.0	11.5	2	3	2	21.0454093061332	105.848058159316	Ba Đình	Hà Nội
Căn hộ chung cư tại Vinhomes Times City - Park Hill	pr42623921	100.0	9.3	3	2	2	20.99485782280275	105.86680825472727	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại The Nelson Private Residences	pr42601305	83.0	11.0	2	2	2	21.02081556011511	105.81889806893278	Ba Đình	Hà Nội
Nhà riêng tại đường Kim Ngưu	pr42605506	36.2	7.5	4	3	2	21.0049140452087	105.861331633824	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Bồ Đề	pr42420065	50.0	10.0	3	4	2	21.0382733909268	105.871899110914	Long Biên	Hà Nội
Nhà riêng tại đường Xuân Đỉnh	pr41497782	70.0	13.5	4	4	2	21.0710980414536	105.794350081688	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phố Thái Hà	pr42578634	48.0	15.9	4	4	2	21.0128429263205	105.819921428941	Đống Đa	Hà Nội
Nhà riêng tại Khu đô thị mới Nghĩa Đô	pr42622878	40.0	13.0	4	4	2	21.050649908029936	105.791729424851	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	pr42644232	55.0	14.0	4	3	2	21.0154960023045	105.824450308533	Đống Đa	Hà Nội
Nhà riêng tại đường Minh Khai	pr42572577	59.0	8.7	7	4	2	20.9950923829715	105.856751566625	Hai Bà Trưng	Hà Nội
Nhà biệt thự, liền kề tại Khai Sơn City	pr28296569	100.0	21.0	6	6	2	21.0525003896904	105.884362161138	Long Biên	Hà Nội
Căn hộ chung cư tại The Zei Mỹ Đình	pr41948310	93.0	7.5	2	2	2	21.034862303420145	105.7699732036904	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Hồng Hà Tower	pr42652812	65.0	15.85	6	4	2	20.975198002996763	105.8559497888322	Hoàng Mai	Hà Nội
Nhà riêng tại Khu đô thị Mỗ Lao	pr42640886	37.0	9.5	3	4	2	20.98319575963497	105.78160585622796	Hà Đông	Hà Nội
Nhà riêng tại đường Đào Tấn	pr42627521	35.0	8.6	3	4	2	21.0323047597879	105.809146566413	Ba Đình	Hà Nội
Nhà riêng tại đường Nguyễn Chí Thanh	pr42637871	40.0	15.8	4	5	2	21.0206963542968	105.808531057825	Đống Đa	Hà Nội
Nhà riêng tại đường Trần Duy Hưng	pr42573613	41.0	8.3	3	4	2	21.0107112067191	105.7995970554	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Golden Land	pr42609138	130.0	8.19	3	2	-1	20.99289275333338	105.80728526897104	Thanh Xuân	Hà Nội
Nhà riêng tại đường Xuân La	pr41498709	42.0	8.0	3	4	2	21.0646607257931	105.805663766503	Tây Hồ	Hà Nội
Nhà riêng tại phố Kim Mã	pr42639594	56.0	11.9	4	4	2	21.0318021296423	105.825075476489	Ba Đình	Hà Nội
Nhà riêng tại đường Phố Trạm	pr42506233	50.0	12.9	4	4	2	21.0261811999281	105.893188302914	Long Biên	Hà Nội
Nhà riêng tại phố Quan Nhân	pr42598368	26.0	7.99	3	4	2	21.0034894358862	105.810601454415	Thanh Xuân	Hà Nội
Nhà riêng tại đường Cổ Linh	pr42635653	50.0	13.5	4	4	2	21.0242490478138	105.902451216147	Long Biên	Hà Nội
Nhà riêng tại đường Lạc Long Quân	pr42466149	35.0	9.2	3	4	2	21.061260117618	105.809013089233	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Tô Hiệu	pr42620060	55.0	21.0	5	3	2	20.9662414434248	105.777031668872	Hà Đông	Hà Nội
Nhà riêng tại phường Đại Mỗ	pr42615242	43.0	9.6	4	4	2	20.9941113187154	105.761145456281	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	pr42369693	61.0	20.5	6	6	2	21.0155569066966	105.824131736743	Đống Đa	Hà Nội
Căn hộ chung cư tại Eurowindow Multi Complex	pr41553488	120.0	8.5	3	2	2	21.011089324951172	105.7999038696289	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Chung cư M5 Nguyễn Chí Thanh	pr42138541	149.0	9.3	3	2	2	21.0209899860415	105.80981166563215	Đống Đa	Hà Nội
Nhà riêng tại đường Lê Đức Thọ	pr42402602	70.0	12.5	4	3	2	21.0305635386789	105.769309593256	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Ô Chợ Dừa	pr42465601	35.0	12.1	3	4	2	21.0198418537465	105.827596951881	Đống Đa	Hà Nội
Căn hộ chung cư tại Mỹ Đình Pearl	pr42498815	94.0	7.3	3	2	2	21.012605448192232	105.767835029018	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Đội Cấn	pr42652211	42.0	9.0	4	3	2	21.0349422788287	105.823487633304	Ba Đình	Hà Nội
Nhà mặt phố tại đường Nguyễn Văn Cừ	pr42386115	42.0	12.9	4	6	2	21.0435597643429	105.872611251764	Long Biên	Hà Nội
Căn hộ chung cư tại Khu đô thị Yên Hòa	pr42512035	100.0	7.1	3	2	2	21.018690849777087	105.79521919443832	Cầu Giấy	Hà Nội
Nhà riêng tại đường Trường Chinh	pr42652989	42.0	18.3	4	4	2	20.9986432076404	105.83751853717	Đống Đa	Hà Nội
Nhà riêng tại phường Mễ Trì	pr42524876	58.0	14.3	5	4	2	21.0036941673466	105.78254003761	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Nguyễn Ngọc Vũ	pr40997005	62.0	7.2	4	4	2	21.0118023457069	105.808376002494	Cầu Giấy	Hà Nội
Nhà riêng tại đường Phạm Văn Đồng	pr42621951	37.0	10.3	3	4	2	21.0730661760943	105.785389469837	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Bồ Đề	pr42576695	45.0	8.2	4	3	2	21.0379529690711	105.871535176263	Long Biên	Hà Nội
Căn hộ chung cư tại HC Golden City	pr42014197	148.5	10.5	4	2	-1	21.037187295443974	105.87306190985024	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42596794	65.0	19.3	4	4	2	21.0436692271135	105.872717386854	Long Biên	Hà Nội
Căn hộ chung cư tại Capital Elite	pr42621879	114.0	12.5	3	2	2	21.018616014094267	105.7813952574202	Nam Từ Liêm	Hà Nội
Bán đất tại xã Thanh Xuân	pr42575218	109.0	7.085	1	1	2	21.2233570953419	105.76704316418	Sóc Sơn	Hà Nội
Nhà mặt phố tại đường Vân Canh	pr42455180	45.0	7.8	4	4	2	21.0357886337211	105.732922204824	Hoài Đức	Hà Nội
Căn hộ chung cư tại Times Tower Lê Văn Lương	pr42611605	107.0	8.5	3	2	2	21.0023396169304	105.80125942233616	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42507611	88.0	17.0	5	5	2	21.096544866489022	105.71202793462903	Đan Phượng	Hà Nội
Nhà riêng tại phố Vũ Tông Phan	pr42652223	40.0	7.9	4	3	2	20.9980098651096	105.817255992007	Thanh Xuân	Hà Nội
Nhà riêng tại đường Quang Trung	pr42320920	45.0	11.4	6	4	2	20.9658667101875	105.767627287408	Hà Đông	Hà Nội
Nhà riêng tại phố Kim Mã	pr42643040	56.0	11.95	4	3	2	21.0319809956927	105.825579478225	Ba Đình	Hà Nội
Nhà riêng tại đường Tây Sơn	pr42599601	55.0	15.0	5	4	2	21.009745148872	105.824423136854	Đống Đa	Hà Nội
Căn hộ chung cư tại Hà Nội Paragon	pr42619273	138.0	8.5	3	2	1	21.031559061110972	105.7899932432634	Cầu Giấy	Hà Nội
Nhà riêng tại đường Tây Sơn	pr42621222	43.0	11.5	3	5	2	21.0046310071282	105.82164842011	Đống Đa	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42582024	96.0	15.0	5	3	1	21.096574509847308	105.711932885622	Đan Phượng	Hà Nội
Căn hộ chung cư tại N03-T1 Ngoại Giao Đoàn	pr42470392	95.0	8.15	3	2	-1	21.066106585122068	105.79825259985388	Bắc Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Hồng Hà Tower	pr42321381	73.0	18.35	4	3	2	20.97495186744808	105.85621395817635	Hoàng Mai	Hà Nội
Nhà mặt phố tại đường Tống Duy Tân	pr42600683	45.0	20.0	2	1	2	21.0293803890603	105.843446133168	Hoàn Kiếm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Quán	pr42143788	68.0	18.8	5	4	2	20.9741687115278	105.789294754007	Hà Đông	Hà Nội
Nhà riêng tại phố Kim Mã	pr41789025	22.0	12.8	5	4	2	21.0296644688259	105.809643830336	Ba Đình	Hà Nội
Nhà riêng tại đường Thụy Khuê	pr42613640	48.0	10.65	4	3	2	21.0429237761182	105.824050832873	Tây Hồ	Hà Nội
Nhà mặt phố tại phố Việt Hưng	pr41577768	78.0	13.0	1	1	2	21.0527268059411	105.898870469887	Long Biên	Hà Nội
Nhà riêng tại đường Minh Khai	pr42235373	38.0	8.0	4	4	2	20.9977121147949	105.866813217794	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Kim Ngưu	pr42485965	48.0	7.25	4	4	2	21.0057135523083	105.861554088259	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Thái Thịnh	pr42610893	51.0	7.95	4	4	2	21.0104029232236	105.818408879225	Đống Đa	Hà Nội
Nhà riêng tại đường Bùi Xương Trạch	pr42657671	47.0	16.6	4	5	2	20.9869390703741	105.81856463677	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Văn Khê	pr42028481	85.0	21.9	6	6	2	20.971890969999027	105.76108277349157	Hà Đông	Hà Nội
Nhà riêng tại đường Phan Trọng Tuệ	pr42329113	55.0	7.15	4	4	2	20.9438421816341	105.83817064982	Thanh Trì	Hà Nội
Căn hộ chung cư tại Viha Complex	pr42524689	117.0	11.115	3	3	1	20.9976804413617	105.80377419818	Thanh Xuân	Hà Nội
Nhà riêng tại đường Hoàng Ngân	pr42553391	46.0	11.0	4	4	2	21.0088425402617	105.801807360264	Cầu Giấy	Hà Nội
Nhà riêng tại đường Xuân Diệu	pr42626186	48.0	13.0	5	5	2	21.0665558205195	105.826339591664	Tây Hồ	Hà Nội
Nhà riêng tại đường Thượng Đình	pr42494806	56.0	7.05	3	3	2	20.9974134794724	105.816021765681	Thanh Xuân	Hà Nội
Nhà riêng tại phố Kim Mã	pr42643982	53.0	11.9	4	4	2	21.0318215497189	105.825229013687	Ba Đình	Hà Nội
Căn hộ chung cư tại Mipec Rubik 360	pr42522094	110.0	10.05	3	2	2	21.037153757135982	105.78634894145584	Cầu Giấy	Hà Nội
Nhà riêng tại phố Lê Thanh Nghị	pr42591156	60.0	12.8	9	1	2	21.0023350991983	105.846999502915	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Hạ Đình	pr42596748	50.6	7.5	5	3	2	20.9885475215566	105.810352137466	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nguyễn Hy Quang	pr42381905	50.0	15.8	4	4	2	21.0187958406927	105.826539176429	Đống Đa	Hà Nội
Nhà riêng tại đường Bồ Đề	pr42616519	45.0	7.0	4	4	2	21.0384025615406	105.872261298009	Long Biên	Hà Nội
Nhà riêng tại đường Tam Trinh	pr42585483	60.0	11.8	6	5	-1	20.9735346335143	105.866324555191	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	pr42598175	80.0	19.5	5	4	2	20.958613663510164	105.76705629337692	Hà Đông	Hà Nội
Căn hộ chung cư tại N01-T1 Ngoại Giao Đoàn	pr42316700	133.0	10.0	3	2	2	21.06602620032774	105.79814451717758	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Huỳnh Thúc Kháng	pr42339844	25.0	7.1	3	4	2	21.0182749832126	105.811550315058	Đống Đa	Hà Nội
Căn hộ chung cư tại Royal City	pr41870458	131.0	10.5	3	2	2	21.00259471038	105.815209321845	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Duyên Thái	pr41123596	102.0	12.0	4	5	2	20.8988830570593	105.867041833217	Thường Tín	Hà Nội
Nhà mặt phố tại đường Bế Văn Đàn	pr42507572	60.0	20.0	4	5	2	20.9701263834367	105.773500512052	Hà Đông	Hà Nội
Nhà riêng tại đường Trương Định	pr42586463	60.0	9.2	4	4	2	20.9838702473137	105.846337679217	Hoàng Mai	Hà Nội
Nhà riêng tại phố Giảng Võ	pr42588642	36.0	7.12	4	5	2	21.0261240437661	105.823257016604	Ba Đình	Hà Nội
Nhà riêng tại phố Phạm Tuấn Tài	pr42390030	70.0	18.5	4	5	2	21.0437152376973	105.786115285654	Cầu Giấy	Hà Nội
Nhà riêng tại đường Khương Đình	pr42581395	40.0	12.6	4	4	2	20.9919330168139	105.813255127799	Thanh Xuân	Hà Nội
Nhà riêng tại phố Ngọc Trì	pr42653124	50.0	8.5	3	4	2	21.0205684065206	105.911459993488	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	pr38147823	73.0	18.69	4	5	2	20.958925616510676	105.76784858063932	Hà Đông	Hà Nội
Căn hộ chung cư tại N03-T6 Ngoại Giao Đoàn	pr42593755	134.0	11.95	3	2	2	21.065295846073337	105.79719999305526	Bắc Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Hinode Royal Park	pr42583513	100.0	20.8	6	5	1	21.05631421448207	105.71622294253709	Hoài Đức	Hà Nội
Nhà riêng tại đường Phố Lụa	pr42605552	36.0	8.9	3	4	2	20.9800492831306	105.774020196497	Hà Đông	Hà Nội
Nhà riêng tại đường Tứ Liên	pr42348856	100.0	20.0	4	4	2	21.069438337497	105.838094677253	Tây Hồ	Hà Nội
Nhà riêng tại phố Dịch Vọng Hậu	pr42544677	40.0	9.2	5	3	2	21.0305742495967	105.78597776484	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Nelson Private Residences	pr42069320	106.0	13.4	3	2	1	21.020225586867063	105.81919702840575	Ba Đình	Hà Nội
Nhà riêng tại phố Hào Nam	pr42641205	38.0	8.5	3	3	2	21.0277784962747	105.827814451623	Đống Đa	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr42450846	108.0	8.1	3	2	1	21.0410085505198	105.896769714091	Long Biên	Hà Nội
Nhà mặt phố tại đường Ngọc Hồi	pr42587128	160.0	16.1	4	4	2	20.9268388290174	105.849863953517	Thanh Trì	Hà Nội
Căn hộ chung cư tại 6th Element	pr42570109	109.0	12.0	3	2	2	21.059187889306376	105.80374977615354	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Nguyễn Trãi	pr42501232	35.0	15.5	5	4	2	20.9874466556682	105.800521166762	Thanh Xuân	Hà Nội
Nhà riêng tại phố Vạn Phúc	pr42607309	36.0	7.9	3	4	2	20.9752257560703	105.786850193082	Hà Đông	Hà Nội
Nhà riêng tại đường Văn Cao	pr42652723	39.0	13.0	6	5	2	21.0403569587577	105.816082302284	Ba Đình	Hà Nội
Nhà riêng tại đường Trần Khát Chân	pr42606751	43.0	7.5	3	3	2	21.0088217227831	105.863210639826	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Hoàng Đạo Thành	pr42620245	45.0	13.6	3	5	2	20.9827775595842	105.812877888507	Thanh Xuân	Hà Nội
Nhà riêng tại phố Phùng Chí Kiên	pr41819619	35.0	10.95	3	3	2	21.043289211468	105.802700852404	Cầu Giấy	Hà Nội
Nhà riêng tại đường Cửu Việt 2	pr38053070	67.0	8.5	3	3	2	21.0087935	105.9377055	Gia Lâm	Hà Nội
Nhà riêng tại phố Quan Nhân	pr42629881	40.0	11.5	5	4	2	21.0032943128195	105.811009244092	Thanh Xuân	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr42597603	55.0	14.0	3	3	2	21.0499774138283	105.867079902155	Long Biên	Hà Nội
Nhà riêng tại phố Hào Nam	pr41742058	65.0	9.6	3	2	2	21.0255420146543	105.827568333223	Đống Đa	Hà Nội
Nhà riêng tại đường Giải Phóng	pr42593785	33.0	7.66	4	5	2	20.9758257511604	105.840824296286	Hoàng Mai	Hà Nội
Nhà riêng tại phố Thái Thịnh	pr42450511	50.0	15.7	8	6	2	21.0123716973952	105.817301391601	Đống Đa	Hà Nội
Căn hộ chung cư tại GoldSeason	pr39383405	101.0	7.6	3	2	2	20.9947719573975	105.806129455566	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Mipec Rubik 360	pr42574463	108.0	8.9	3	2	2	21.037364682728953	105.78648704855333	Cầu Giấy	Hà Nội
Nhà riêng tại phố Ngọc Trì	pr42580533	55.0	11.8	4	5	2	21.0225084347554	105.91405583834	Long Biên	Hà Nội
Căn hộ chung cư tại Cầu Giấy Center Point	pr42608233	79.0	7.3	2	2	2	21.03232296720588	105.80035251739407	Cầu Giấy	Hà Nội
Nhà riêng tại đường 1A	pr42578720	60.0	11.4	4	5	2	20.9379658850436	105.844845234941	Thanh Trì	Hà Nội
Nhà riêng tại phố Thái Hà	pr42462459	45.0	9.25	4	3	2	21.0124153360244	105.820186443729	Đống Đa	Hà Nội
Căn hộ chung cư tại Golden Park Tower	pr42600550	81.6	8.0	2	2	2	21.026863439813916	105.788215765589	Cầu Giấy	Hà Nội
