[2025-04-24T06:08:42.009+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/114595979.htm
[2025-04-24T06:08:49.966+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/114596711.htm
[2025-04-24T06:08:56.702+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/114638569.htm
[2025-04-24T06:09:04.434+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115050951.htm
[2025-04-24T06:09:11.799+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115160683.htm
[2025-04-24T06:09:19.012+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115160862.htm
[2025-04-24T06:09:28.159+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115161592.htm
[2025-04-24T06:09:36.559+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115243961.htm
[2025-04-24T06:09:46.081+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115406982.htm
[2025-04-24T06:09:52.673+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115503552.htm
[2025-04-24T06:10:02.858+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115512682.htm
[2025-04-24T06:10:11.754+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115566758.htm
[2025-04-24T06:10:18.109+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115583185.htm
[2025-04-24T06:10:25.632+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115705508.htm
[2025-04-24T06:10:33.310+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115733787.htm
[2025-04-24T06:10:42.890+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115743658.htm
[2025-04-24T06:10:52.299+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/115882659.htm
[2025-04-24T06:11:00.389+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116040076.htm
[2025-04-24T06:11:08.277+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116281543.htm
[2025-04-24T06:11:17.171+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116386947.htm
[2025-04-24T06:11:24.460+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116454334.htm
[2025-04-24T06:11:30.896+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116510873.htm
[2025-04-24T06:11:38.195+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116552663.htm
[2025-04-24T06:11:44.986+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116704442.htm
[2025-04-24T06:11:51.650+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116711605.htm
[2025-04-24T06:12:00.107+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116757414.htm
[2025-04-24T06:12:07.554+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116860203.htm
[2025-04-24T06:12:14.772+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/116884010.htm
