title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán đất tại đường Cự Khối	pr42328272	100 m²	5,5 m	14 tỷ					Sổ đỏ/ Sổ hồng	21.012756437778	105.910578262623	Đường Cự Khối, Phường Cự Khối, Long Biên, Hà Nội	Long Biên	Hà Nội
Bán đất tại xã Minh Quang	pr42657850	3.600 m²		11 tỷ					Sổ đỏ/ Sổ hồng	21.0672660943293	105.325731832496	Thôn Cốc Đồng Tâm, Xã Minh Quang, Ba Vì, Hà Nội.	Ba Vì	Hà Nội
Nhà biệt thự, liền kề tại phường Dương Nội	pr42607465	55 m²		15,5 tỷ				Đầy đủ	Sổ đỏ/ Sổ hồng	20.9818729730726	105.746310951226	Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42614924	96 m²	8 m	16,8 tỷ	Đông - Nam	5 phòng	3 phòng	Không nội thất	Hợp đồng mua bán	21.096562274466994	105.71204689509746	Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà riêng tại đường Bồ Đề	pr41789075	80 m²		13,2 tỷ		3 phòng	3 phòng		Sổ đỏ	21.0379724924051	105.871921608991	Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Lương Bằng	pr42637498	53 m²	8,7 m	7 tỷ					Sổ đỏ/ Sổ hồng	21.0163321313662	105.828295827271	Đường Nguyễn Lương Bằng, Phường Nam Đồng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Hồng Hà	pr42392066	85 m²		29,5 tỷ						21.0442993550226	105.84720256925	Đường Hồng Hà, Phường Phúc Xá, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Trang trại, khu nghỉ dưỡng tại đường 87A	pr42415566	2.100 m²		22 tỷ					Sổ đỏ/ Sổ hồng	21.0864325097247	105.403483726052	Đường 87A, Xã Vân Hòa, Ba Vì, Hà Nội	Ba Vì	Hà Nội
Bán đất tại đường Vân Canh	pr42626345	131 m²	13 m	30 tỷ					Sổ đỏ/ Sổ hồng	21.0358509481631	105.733119448928	Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Yên Hòa	pr42566899	35 m²	4 m	8 tỷ		5 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0232502264143	105.794804060888	Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
