title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán đất tại đường Võ Thị Sáu	pr42168085	546 m²	10 m	17,5 tỷ					Sổ đỏ/ Sổ hồng	10.7954272988517	106.950916411085	Đường Võ Thị Sáu, Thị trấn Long Thành, Long Thành, Đồng Nai	Long Thành	Đồng Nai
Căn hộ chung cư tại Lumiere Riverside	pr40981745	74 m²		7,5 tỷ		2 phòng	2 phòng	Có máy lạnh.	Sổ đỏ/ Sổ hồng	10.8042144775391	106.749519348145	Dự án Lumiere Riverside, Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh	Quận 2	Hồ Chí Minh
Căn hộ chung cư tại D’. Le Roi Soleil	pr42596467	146 m²		17,8 tỷ		3 phòng	2 phòng		Sổ đỏ/ Sổ hồng	21.066086101036007	105.82630190877659	Dự án D’. Le Roi Soleil , Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Số 54	pr42625791	68 m²		11 tỷ						10.7347134652839	106.625368574778	Đường Số 54, Phường 10, Quận 6, Hồ Chí Minh	Quận 6	Hồ Chí Minh
Nhà biệt thự, liền kề tại Elysia Complex City	pr42408437	96 m²	6 m	7,5 tỷ	Đông - Nam	6 phòng	6 phòng	Không nội thất	Hợp đồng mua bán.	16.0326023101807	108.233390808105	Dự án Elysia Complex City, Đường Nguyễn Thi, Phường Hòa Cường Nam, Hải Châu, Đà Nẵng	Hải Châu	Đà Nẵng
Bán đất tại xã An Thượng	pr40477214	90 m²	6,5 m	14,4 tỷ	Nam				Sổ đỏ.	20.9931526846901	105.697367669684	Xã An Thượng, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà mặt phố tại đường Núi Thành	pr42582618	262 m²	9 m	30 tỷ		3 phòng	4 phòng		Sổ đỏ/ Sổ hồng	16.0429966354366	108.221471912337	Đường Núi Thành, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng	Hải Châu	Đà Nẵng
Nhà riêng tại phường 10	pr42601928	81 m²		12,2 tỷ		4 phòng			Sổ đỏ/ Sổ hồng	10.7825480585345	106.647838121013	Phường 10, Tân Bình, Hồ Chí Minh	Tân Bình	Hồ Chí Minh
Shophouse, nhà phố thương mại tại Vinhomes Grand Park	pr42555182	106 m²	14 m	14 tỷ	Đông - Nam			Không nội thất	Hợp đồng mua bán	10.8413947167705	106.840036935295	Vinhomes Grand Park, Long Thạnh Mỹ, Quận 9, Hồ Chí Minh	Quận 9	Hồ Chí Minh
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	pr42513644	100 m²	5 m	25,5 tỷ		4 phòng	4 phòng		Sổ đỏ/ Sổ hồng	20.959025712727644	105.7670217042787	Dự án KĐT Văn Phú, Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Hà Nội Garden City	pr39505941	144 m²	8 m	24,5 tỷ		4 phòng	6 phòng	Đầy đủ.	Sổ đỏ/ Sổ hồng.	21.019302797483473	105.91974839199793	Dự án Garden City, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà mặt phố tại đường 1A	pr41621048	126 m²		16 tỷ		5 phòng	5 phòng		Sổ đỏ/ Sổ hồng	10.7340275843455	106.602466181962	Đường 1A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh	Bình Tân	Hồ Chí Minh
Nhà riêng tại đường Phan Kế Bính	pr42376371	85 m²	6 m	22,5 tỷ		23 phòng	23 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0350583324275	105.809971951534	Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại đường Cù Chính Lan	pr42624358	115 m²	6,8 m	7,2 tỷ					Sổ đỏ/ Sổ hồng	16.065040113603	108.185617153507	Đường Cù Chính Lan, Phường An Khê, Thanh Khê, Đà Nẵng	Thanh Khê	Đà Nẵng
Nhà riêng tại đường Nguyễn Đình Hoàn	pr42577231	88 m²	4 m	15 tỷ		4 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.042913190029	105.805335835304	Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Lê Trọng Tấn	pr38306061	52 m²	4 m	11,6 tỷ					Sổ đỏ	20.9679173761033	105.755222640936	Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại đường Nguyễn Lâm	pr42618273	280 m²		16,8 tỷ						16.1057229256983	108.259297534809	Đường Nguyễn Lâm, Phường Thọ Quang, Sơn Trà, Đà Nẵng	Sơn Trà	Đà Nẵng
Nhà mặt phố tại Khu đô thị VCN Phước Hải	pr42588147	100 m²		13,7 tỷ	Tây - Nam	6 phòng	6 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	12.2379794535343	109.176831504755	Dự án VCN Phước Hải, Đường Văn Tiến Dũng, Phường Phước Hải, Nha Trang, Khánh Hòa	Nha Trang	Khánh Hòa
Nhà riêng tại đường Đinh Thị Thi	pr42596012	55 m²	4,2 m	8,5 tỷ	Tây - Nam	3 phòng	4 phòng		Sổ đỏ/ Sổ hồng	10.8443870119884	106.716277675274	Đường Đinh Thị Thi, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh	Thủ Đức	Hồ Chí Minh
Nhà biệt thự, liền kề tại xã Đặng Xá	pr40099925	238 m²		112 triệu/m²								Xã Đặng Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà biệt thự, liền kề tại đường Huỳnh Tấn Phát	pr42492960	100 m²	5 m	8,88 tỷ		4 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.6784577019893	106.753550431959	Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh	Nhà Bè	Hồ Chí Minh
Nhà mặt phố tại đường Dương Hiến Quyền	pr42607533	145,76 m²	9,6 m	15 tỷ	Nam					12.2865921090312	109.203421271687	Đường Dương Hiến Quyền, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa	Nha Trang	Khánh Hòa
Nhà riêng tại đường Ngô Gia Tự	pr42634300	68 m²	5 m	10 tỷ		6 phòng	6 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0653442746821	105.897995169437	Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42523158	50 m²	4,1 m	16,8 tỷ		4 phòng	5 phòng		Sổ đỏ/ Sổ hồng	21.0440479132038	105.872365422158	Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phường Xuân Phương	pr41128918	44 m²		9 tỷ		11 phòng			Sổ đỏ chính chủ	21.0294222174505	105.745001689027	Phường Xuân Phương, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Tựu Liệt	pr42624796	46 m²	5,3 m	7,8 tỷ				K	Sổ đỏ	20.9531653919753	105.835189312342	Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Bán đất tại đường Bùi Thiện Ngộ	pr42580810	200 m²	10 m	9,8 tỷ	Đông - Bắc				Sổ đỏ/ Sổ hồng	16.0088445562954	108.220558455654	Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng	Cẩm Lệ	Đà Nẵng
Nhà mặt phố tại đường Dương Đình Hội	pr40081441	125 m²		12,5 tỷ					Sổ đỏ/ Sổ hồng	10.8226066	106.7801253	Đường Dương Đình Hội, Phường Phước Long B, Quận 9, Hồ Chí Minh	Quận 9	Hồ Chí Minh
Bán đất tại xã Long Phước	pr41945341	235 m²		30 triệu/m²						10.717984417079	107.001626474137	Xã Long Phước, Long Thành, Đồng Nai	Long Thành	Đồng Nai
Căn hộ chung cư tại Diamond  Alnata Plus - Celadon City	pr42524837	118 m²		7,3 tỷ		3 phòng	2 phòng			10.806295332391244	106.61534234157348	Dự án Diamond  Alnata Plus - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh	Tân Phú	Hồ Chí Minh
Bán đất tại đường 29/3	pr42619275	121,5 m²	5 m	8,5 tỷ	Đông - Nam				Sổ đỏ/ Sổ hồng	16.0020343460522	108.219913110111	Đường 29/3, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng	Cẩm Lệ	Đà Nẵng
Nhà riêng tại đường Thanh Nhàn	pr42640739	70 m²	7 m	24 tỷ		3 phòng	8 phòng		Sổ đỏ/ Sổ hồng	21.0027955070338	105.856288455815	Đường Thanh Nhàn, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Tân Sơn Nhì	pr42644421	56 m²		9 tỷ		4 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.7998876847393	106.630810871182	Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh	Tân Phú	Hồ Chí Minh
Nhà biệt thự, liền kề tại Citi Bella	pr42612998	86 m²	5 m	8 tỷ				Cơ bản	Sổ đỏ/ Sổ hồng	10.7670070777938	106.785897716549	Citi Bella, Cát Lái, Quận 2, Hồ Chí Minh	Quận 2	Hồ Chí Minh
Bán đất tại đường Gò Dầu	pr42654726	80 m²	4 m	8 tỷ					Sổ đỏ/ Sổ hồng	10.7957623387642	106.622167930352	Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh	Tân Phú	Hồ Chí Minh
Bán đất tại đường Tô Ký	pr42160109	150 m²		7,2 tỷ	Bắc				Sổ đỏ/ Sổ hồng	10.8566180363501	106.621270646828	Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh	Quận 12	Hồ Chí Minh
Bán đất tại đường Hồ Nghinh	pr36665771	100 m²	5 m	21,5 tỷ	Tây				Đả có sổ	16.0726239	108.2430032	Đường Hồ Nghinh, Phường Phước Mỹ, Sơn Trà, Đà Nẵng	Sơn Trà	Đà Nẵng
Nhà mặt phố tại phường Linh Đông	pr42423327	82 m²		7,6 tỷ		5 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.8472368468288	106.746892606474	Phường Linh Đông, Thủ Đức, Hồ Chí Minh	Thủ Đức	Hồ Chí Minh
Nhà biệt thự, liền kề tại TSQ Galaxy	pr42552874	90,2 m²	5,2 m	25,5 tỷ		5 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9846750375072	105.775518148524	TSQ Galaxy, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Shophouse, nhà phố thương mại tại Mizuki Park	pr39821398	104 m²		7,8 tỷ				Không nội thất	Sổ đỏ/ Sổ hồng	10.725000135881379	106.66372939878798	Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh	Bình Chánh	Hồ Chí Minh
Nhà riêng tại đường Lê Quang Định	pr42028562	39 m²		7 tỷ		9 phòng			Sổ đỏ/ Sổ hồng	10.8096121486304	106.692746705122	Đường Lê Quang Định, Phường 7, Bình Thạnh, Hồ Chí Minh	Bình Thạnh	Hồ Chí Minh
Nhà riêng tại phường Hoàng Văn Thụ	pr42590014	64 m²		11,8 tỷ						20.9877387948786	105.858903240223	Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Cổ Loa	pr42642795	75 m²	5 m	21,38 tỷ	Tây	4 phòng	4 phòng	Không nội thất	Hợp đồng mua bán	21.11495348639201	105.87047988720133	Vinhomes Cổ Loa, Cổ Loa, Đông Hội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Hoàng Mai	pr42597171	43 m²	3,5 m	8,88 tỷ		8 phòng	4 phòng		Sổ đỏ/ Sổ hồng	20.9885525275958	105.856880988063	Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán đất tại đường An Sơn	pr42655581	300 m²	9 m	10,5 tỷ					Sổ đỏ/ Sổ hồng	11.9240578983814	108.423760374433	Đường An Sơn, Phường 4, Đà Lạt, Lâm Đồng	Đà Lạt	Lâm Đồng
Nhà biệt thự, liền kề tại xã Bình Châu	pr35786037	252 m²	10 m	17,5 tỷ	Đông - Nam	4 phòng	5 phòng	Tặng gói nội thất sang trọng cao cấp.	Sổ đỏ/ Sổ hồng	10.6030221862333	107.534226049439	Xã Bình Châu, Xuyên Mộc, Bà Rịa Vũng Tàu	Xuyên Mộc	Bà Rịa Vũng Tàu
Nhà mặt phố tại đường Số 8	pr42575674	76,5 m²	8 m	9,5 tỷ	Đông - Nam	7 phòng	8 phòng		Sổ đỏ/ Sổ hồng	10.7219151747446	106.606149743775	Đường Số 8, khu dân cư Nam Long,  Phường An Lạc, Bình Tân, Hồ Chí Minh	Bình Tân	Hồ Chí Minh
Căn hộ chung cư tại Noble Crystal Tây Hồ	pr42161769	76 m²		15,1 tỷ	Nam	1 phòng	2 phòng		Sổ đỏ/ Sổ hồng	21.083915433670395	105.80891703005251	Dự án Noble Crystal Tây Hồ, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Bồ Đề	pr42268475	45 m²	5,5 m	8,9 tỷ		4 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0378745898363	105.872229212037	Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà mặt phố tại đường Thụy Khuê	pr42641769	65 m²	4,2 m	30 tỷ		4 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0424622117688	105.824395816476	Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr42602695	58 m²	3,5 m	14,5 tỷ		6 phòng	6 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.052445336481	105.870002601296	Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
