id	url	status	source_id	source_name	posted_date	due_date	updated_date
pr42612225	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-to-hien-thanh-phuong-12-5/ban-gap-pho-quan-10-4x20m-vuong-vuc-4-tang-gia-giam-han-2-ty-con-27-ty-tl-pr42612225	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr42168085	https://batdongsan.com.vn/nha-dat-ban/ban-dat-duong-vo-thi-sau-thi-tran-long-thanh-3/ban-tai-18-ty-546m2-view-dep-mat-tien-10m-chinh-chu-ban-pr42168085	1	1	batdongsan.com.vn	2025-04-05	2025-04-15	2025-04-08
pr40981745	https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/doc-quyen-cac-gia-tot-2pn-7-5t-co-may-lanh-day-du-lh-pr40981745	1	1	batdongsan.com.vn	2025-04-02	2025-04-09	2025-04-08
pr42596467	https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-xuan-dieu-phuong-quang-an-2-prj-d-le-roi-soleil/toi-ban-3-ngu-dleroi-146m-full-noi-that-san-sang-ve-o-17-8-ty-pr42596467	1	1	batdongsan.com.vn	2025-04-01	2025-04-11	2025-04-08
pr42625791	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-so-54-phuong-10-4/view-ty-do-doi-dien-cong-vien-ho-ban-54-p10-q6-4x17-tret-3-lau-gia-chi-11-ty-tl-pr42625791	1	1	batdongsan.com.vn	2025-04-03	2025-04-13	2025-04-08
pr42408437	https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-duong-nguyen-thi-phuong-hoa-cuong-nam-prj-elysia-complex-city/khu-vip-song-han-gia-7-5-ty-co-ho-tro-vay-pr42408437	1	1	batdongsan.com.vn	2025-03-12	2025-04-11	2025-04-08
pr40477214	https://batdongsan.com.vn/nha-dat-ban/ban-dat-xa-an-thuong-1/b-90m2-dich-vu-khu-12-5ha-tai-trung-tam-huyen-hoai-duc-tp-ha-noi-pr40477214	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr42582618	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-nui-thanh-phuong-hoa-cuong-bac/-3-tang-tien-quan-hai-chau-dt-262m2-ngang-9m-pr42582618	1	1	batdongsan.com.vn	2025-03-30	2025-04-09	2025-04-08
pr42601928	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-phuong-10-10/-b-a-n-quan-tan-binh-ngop-bank-xe-hoi-do-cua-nhinh-12-t-y-pr42601928	1	1	batdongsan.com.vn	2025-04-01	2025-04-11	2025-04-08
pr42555182	https://batdongsan.com.vn/nha-dat-ban/ban-shophouse-nha-pho-thuong-mai-phuong-long-thanh-my-prj-vinhomes-grand-park/bi-ngop-ngan-hang-ban-lo-the-origami-5-ty-toa-s603-pr42555182	1	1	batdongsan.com.vn	2025-04-07	2025-04-17	2025-04-08
pr42513644	https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-duong-van-phu-phuong-phu-la-prj-khu-do-thi-moi-van-phu/-ha-dong-100m2-view-vuon-hoa-dep-chat-cuc-ky-pr42513644	1	1	batdongsan.com.vn	2025-03-30	2025-04-09	2025-04-08
pr39505941	https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-phuong-thach-ban-1-prj-ha-noi-garden-city/-vuon-kdt-an-sinh-cuc-dinh-144m-x-3t-mt-8m-gia-22-5-ty-pr39505941	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr41621048	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-1a-3-phuong-binh-tri-dong-b/an-16-ty-vnd-126m2-pr41621048	1	1	batdongsan.com.vn	2025-04-03	2025-04-13	2025-04-08
pr42376371	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-phan-ke-binh-phuong-cong-vi/ban-toa-ccmn-linh-lang-85m-7t-mt-6m-50m-ra-pho-23-phong-dong-tien-130tr-th-pr42376371	1	1	batdongsan.com.vn	2025-04-04	2025-04-14	2025-04-08
